dataset,model,MAE,RMSE,MdAE,MASE,MdASE,rank_MAE,rank_RMSE,rank_MdAE,rank_MASE,rank_MdASE
China,TabICLv2,2311.5765293044583,4942.44174596129,851.9675415039062,0.7489576011686486,0.6531955663921137,1.0,1.0,1.0,1.0,1.0
China,RandomForest,2339.2948443326145,4962.068079377019,863.7264201188633,0.7578759215237522,0.6607517222453626,2.0,2.0,2.0,2.0,2.0
China,GradientBoosting,2378.3012820083923,5043.250075754683,911.4019863924003,0.7702778786372386,0.6977851559780416,3.0,3.0,3.0,3.0,3.0
China,DummyMedian,3118.7820707070705,6659.166163160298,1323.27,1.0118091122446755,1.0093004493795867,4.0,5.0,5.0,4.0,5.0
China,DummyMean,3700.583230466317,6362.262567377881,2794.5115214285715,1.1972403836869554,2.12582487901254,5.0,4.0,6.0,5.0,6.0
China,ElasticNet,7435.452419972315,50262.410406292845,1196.6077661843672,2.4298380452143062,0.9135420908388678,6.0,6.0,4.0,6.0,4.0
NASA93,TabICLv2,283.1803274059073,582.4330506493055,67.71606047058106,0.5588114712108156,0.34097254692285156,1.0,1.0,1.0,1.0,1.0
NASA93,GradientBoosting,313.64672172569897,653.9945442414318,84.13430822110817,0.6200570021581118,0.4264247813664634,2.0,2.0,3.0,2.0,3.0
NASA93,RandomForest,336.2971057193097,749.3539111386351,75.91498210351295,0.6702727295785771,0.3807507357053857,3.0,3.0,2.0,3.0,2.0
NASA93,DummyMedian,539.3644795321637,1044.7055660055228,213.058,1.0637007013252004,1.0309501177977511,4.0,5.0,5.0,4.0,5.0
NASA93,DummyMean,645.8301375143565,1019.5443842590923,500.0137225225225,1.2534289872782178,2.4091047608797624,5.0,4.0,6.0,5.0,6.0
NASA93,ElasticNet,1232.9314812981806,4247.06814745368,139.7743463151286,2.5441786339725416,0.6958406558134814,6.0,6.0,4.0,6.0,4.0
